line,stop,stopnumber-prefix,stoptype,company
Kōbe,Ōsaka-Umeda,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Nakatsu,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Jūsō,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Kanzakigawa,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Sonoda,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Tsukaguchi,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Mukonosō,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Nishinomiya-Kitaguchi,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Shukugawa,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Ashiyagawa,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Okamoto,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Mikage,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Rokkō,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Ōji-Kōen,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Kasuganomichi,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe,Kōbe-Sannomiya,HK,local;semi-express;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe-Kōsoku,Kōbe-Sannomiya,HK;HS,local;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe-Kōsoku,Hanakuma,HK;HS,local;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe-Kōsoku,Kōsoku-Kōbe,HK;HS,local;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Kōbe-Kōsoku,Shin-Kaichi,HK;HS,local;commuter express;express;rapid express;commuter limited express;limited express,Hankyū
Itami,Tsukaguchi,HK,local,Hankyū
Itami,Inano,HK,local,Hankyū
Itami,Shin-Itami,HK,local,Hankyū
Itami,Itami,HK,local,Hankyū
Imazu,Imazu,HK,local;semi-express,Hankyū
Imazu,Hanshin-Kokudō,HK,local;semi-express,Hankyū
Imazu,Nishinomiya-Kitaguchi,HK,local;semi-express,Hankyū
Imazu,Mondo-Yakujin,HK,local;semi-express,Hankyū
Imazu,Kōtōen,HK,local;semi-express,Hankyū
Imazu,Nigawa,HK,local;semi-express,Hankyū
Imazu,Obayashi,HK,local;semi-express,Hankyū
Imazu,Sakasegawa,HK,local;semi-express,Hankyū
Imazu,Takarazuka-Minamiguchi,HK,local;semi-express,Hankyū
Imazu,Takarazuka,HK,local;semi-express,Hankyū
Kōyō,Shukugawa,HK,local,Hankyū
Kōyō,Kurakuenguchi,HK,local,Hankyū
Kōyō,Kōyōen,HK,local,Hankyū
Takarazuka,Ōsaka-Umeda,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Nakatsu,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Jūsō,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Mikuni,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Shōnai,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Hottori-Tenjin,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Sone,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Okamachi,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Toyonaka,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Hotarugaike,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Ishibashi-Handai-mae,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Ikeda,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
Takarazuka,Kawanishi-Noseguchi,HK,local;semi-express;express;commuter limited express;limited express nissei express,Hankyū
