stop,line,stopnumber,location,stoptype
Ōsaka-Umeda,Kōbe;Takarazuka;Kyōto,HK-01,Ōsaka-fu Ōsaka-shi Kita-ku Shibata 1-Chōme 1-2,local;semi-express;commuter express;express;rapid;rapid express;commuter limited express;limited express;limited express nissei express;rapid limited express;rapid limited express A
Nakatsu,Kōbe;Takarazuka,HK-02,Ōsaka-fu Ōsaka-shi Kita-ku Nakatsu 3-Chōme 1-30,local;semi-express
Jūsō,Kōbe;Takarazuka;Kyōto,HK-03,Ōsaka-fu Ōsaka-shi Yodogawa-ku Jūsō-Higashi 2-Chōme 12-1,local;semi-express;commuter express;express;rapid;rapid express;commuter limited express;limited express;limited express nissei express;rapid limited express
Kanzakigawa,Kōbe,HK-04,Ōsaka-fu Ōsaka-shi Yodogawa-ku Nītaka 6-Chōme 14-16,local
Sonoda,Kōbe,HK-05,Hyōgo-ken Amagasaki-shi Higashi-Sonoda 9-Chōme 48-1,local
Tsukaguchi,Kōbe;Itami,HK-06,Hyōgo-ken Amagasaki-shi Tsukaguchi-Motomach 1-Chōme 1,local;semi-express;commuter express;express;rapid express;commuter limited express
Mukonosō,Kōbe,HK-07,Hyōgo-ken Amagasaki-shi Mukonosō 1-Chōme 1-1,local;commuter express
Nishinomiya-Kitaguchi,Kōbe;Imazu,HK-08,Hyōgo-ken Nishinomiya-shi Takamatsu-chō 6-20,local;commuter express;express;rapid express;commuter limited express;limited express
Shukugawa,Kōbe;Kōyō,HK-09,Hyōgo-ken Nishinomiya-shi Aioi-chō 2-1,local;commuter express;express;rapid express;commuter limited express;limited express
Ashiyagawa,Kōbe,HK-10,Hyōgo-ken Ashiyashi-shi Nishiyama-chō 1-10,local;commuter express;express
Okamoto,Kōbe,HK-11,Hyōgo-ken Kōbe-shi Higashi-Nada-ku Okamoto 5-Chōme 1-1,local;commuter express;express;rapid express;commuter limited express;limited express
Mikage,Kōbe,HK-12,Hyōgo-ken Kōbe-shi Higashi-Nada-ku Mikage 2-Chōme 1-1,local;commuter express;express
Rokkō,Kōbe,HK-13,Hyōgo-ken Kōbe-shi Nada-ku Miyayama-chō 3-Chōme 1,local;commuter express;express;rapid express
Ōji-Kōen,Kōbe,HK-14,Hyōgo-ken Kōbe-shi Nada-ku Ōji-chō 1-Chōme 4-20,local;commuter express;express
Kasuganomichi,Kōbe,HK-15,Hyōgo-ken Kōbe-shi Chūō-ku Wakana-dōri 1-Chōme 1,local;commuter express;express
Kōbe-Sannomiya,Kōbe;Kōbe-Kōsoku,HK-16,Hyōgo-ken Kōbe-shi Chūō-ku Kanō-chō 4-Chōme 2-1,local;commuter express;express;rapid express;commuter limited express;limited express
Hanakuma,Kōbe-Kōsoku,HK-17,Hyōgo-ken Kōbe-shi Chūō-ku Kita-Nagasa-dōri 6-Chōme,local;commuter express;express;rapid express;commuter limited express;limited express
Kōsoku-Kōbe,Kōbe-Kōsoku,HS-35,Hyōgo-ken Kōbe-shi Chūō-ku Nakamachi-dōri 3-Chōme 2,local;commuter express;express;rapid express;commuter limited express;limited express
Shin-Kaichi,Kōbe-Kōsoku,HS-36,Hyōgo-ken Kōbe-shi Hyōgo-ku Shin-Kachi 2-Chōme 3-24,local;commuter express;express;rapid express;commuter limited express;limited express
Inano,Itami,HK-18,Hyōgo-ken Itami-shi Inano-chō 1-Chōme 50-1,local
Shin-Itami,Itami,HK-19,Hyōgo-ken Itami-shi Umenoki 2-Chōme 4-1,local
Itami,Itami,HK-20,Hyōgo-ken Itami-shi Nishidai 1-Chōme 1-1,local
Imazu,Imazu,HK-21,Hyōgo-ken Nishinomiya-shi Tsuto-Kureha-chō 1-37,local;semi-express
Hanshin-Kokudō,Imazu,HK-22,Hyōgo-ken Nishinomiya-shi Tsuto-Ōtsuka-chō 8-18,local;semi-express
Mondo-Yakujin,Imazu,HK-23,Hyōgo-ken Nishinomiya-shi Shimo-Ōichi-Higashi-chō 1-22,local;semi-express
Kōtōen,Imazu,HK-24,Hyōgo-ken Nishinomiya-shi Kōtōen 1-Chōme 204,local;semi-express
Nigawa,Imazu,HK-25,Hyōgo-ken Takarazuka-shi Nigawa-Kita 3-Chōme 3-5,local;semi-express
Obayashi,Imazu,HK-26,Hyōgo-ken Takarazuka-shi Chigusa 2-Chōme 1-1,local;semi-express
Sakasegawa,Imazu,HK-27,Hyōgo-ken Takarazuka-shi Sakasegawa 2-Chōme 1-17,local;semi-express
Takarazuka-Minamiguchi,Imazu,HK-28,Hyōgo-ken Takarazuka-shi Umeno-chō 1-48,local;semi-express
Kurakuenguchi,Kōyō,HK-29,Hyōgo-ken Nishinomiya-shi Ishibane-chō 1-22,local
Kōyōen,Kōyō,HK-30,Hyōgo-ken Nishinomiya-shi Kōyōen-Wakae-chō 7-19,local
Mikuni,Takarazuka,HK-41,Ōsaka-fu Ōsaka-shi Yodogawa-ku Nītaka 3-Chōme 6-33,local
Shōnai,Takarazuka,HK-42,Ōsaka-fu Toyonaka-shi Shōnai-Higashi-machi 1-Chōme 10-1,local
Hottori-Tenjin,Takarazuka,HK-43,Ōsaka-fu Toyonaka-shi Hattori-motomachi 1-Chōme 1-1,local
Sone,Takarazuka,HK-44,Ōsaka-fu Toyonaka-shi Sone-Higashi-chō 3-Chōme 1-1,local;semi-express
Okamachi,Takarazuka,HK-45,Ōsaka-fu Toyonaka-shi Naka-Sakurazuka 1-Chōme 1-1,local;semi-express
Toyonaka,Takarazuka,HK-46,Ōsaka-fu Toyonaka-shi Hon-machi 1-Chōme 1-1,local;semi-express;express;commuter limited express
Hotarugaike,Takarazuka,HK-47,Ōsaka-fu Toyonaka-shi Hotarugaike-Higashi-machi 1-Chōme 5-1,local;semi-express;express
Ishibashi-Handai-mae,Takarazuka;Minō,HK-48,Ōsaka-fu Ikeda-shi Ishibashi 2-Chōme 18-1,local;semi-express;express;commuter limited express;limited express nissei express
Ikeda,Takarazuka,HK-49,Ōsaka-fu Ikeda-shi Sakae-machi 1-1,local;semi-express;express
Kawanishi-Noseguchi,Takarazuka;Myōken,HK-50;NS01,Hyōgo-ken Kawanishi-shi Sakae-machi 20-1,local;semi-express;express
Hibarigaoka-Hanayashiki,Takarazuka,HK-51,Hyōgo-ken Takarazuka-shi Hibarigaoka 1-Chōme 1-10,local;semi-express;express
Yamamoto,Takarazuka,HK-52,Hyōgo-ken Takarazuka-shi Hirai 1-Chōme 1-1,local;semi-express;express
Nakayama-Kannon,Takarazuka,HK-53,Hyōgo-ken Takarazuka-shi Nakayama-dera 2-Chōme 7-1,local;semi-express;express
Mefu-Jinja,Takarazuka,HK-54,Hyōgo-ken Takarazuka-shi Mefu 2-Chōme 14-30,local;semi-express;express
Kiyoshi-Kōjin,Takarazuka,HK-55,Hyōgo-ken Takarazuka-shi Kiyoshi-Kōjin 1-Chōme 9-3,local;semi-express;express
Takarazuka,Takarazuka;Imazu,HK-56,Hyōgo-ken Takarazuka-shi Sakae-machi 2-Chōme 3-1,local;semi-express;express
Sakurai,Minō,HK-57,Ōsaka-fu Minō-shi Sakurai 2-Chōme 2-1,local
Makiochi,Minō,HK-58,Ōsaka-fu Minō-shi Hyakuraku-sō 1-Chōme 1-6,local
Minō,Minō,HK-59,Ōsaka-fu Minō-shi Minō 1-Chōme 1-1,local
Hirano,Myōken,NS-07,Hyōgo-ken Kawanishi-shi Hirano 1-Chōme 36-1,limited express nissei express
